Stage;TrainRatio;TestRatio;Metric;K;FeatureCount;Features;RowType;Class;SelectionScore;Accuracy;Precision;Recall;F1;DurationMs
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.477030;0.801521;0.319149;0.059840;0.100784;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.477030;0.801521;0.363636;0.125561;0.186667;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.477030;0.801521;0.318182;0.185542;0.234399;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.477030;0.801521;0.533795;0.380717;0.444444;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.477030;0.801521;0.842197;0.957440;0.896129;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.477030;0.801521;0.274074;0.128472;0.174941;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.477030;0.801521;0.441839;0.306262;0.339561;6505
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.526186;0.811029;0.344828;0.074738;0.122850;11337
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.526186;0.811029;0.376344;0.181347;0.244755;11337
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.526186;0.811029;0.386364;0.230352;0.288625;11337
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.526186;0.811029;0.591716;0.414938;0.487805;11337
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.526186;0.811029;0.850410;0.958241;0.901111;11337
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.526186;0.811029;0.380645;0.236000;0.291358;11337
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.526186;0.811029;0.488384;0.349269;0.389417;11337
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.538579;0.809225;0.391892;0.099828;0.159122;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.538579;0.809225;0.381579;0.173653;0.238683;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.538579;0.809225;0.324818;0.274691;0.297659;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.538579;0.809225;0.539961;0.452614;0.492444;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.538579;0.809225;0.860293;0.946288;0.901244;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.538579;0.809225;0.420690;0.274775;0.332425;14231
STAGE_2_SPLIT;0.30;0.70;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.538579;0.809225;0.486539;0.370308;0.403596;14231
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.552965;0.813019;0.389610;0.121457;0.185185;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.552965;0.813019;0.408451;0.197279;0.266055;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.552965;0.813019;0.344978;0.287273;0.313492;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.552965;0.813019;0.539326;0.472441;0.503673;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.552965;0.813019;0.865275;0.945401;0.903565;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.552965;0.813019;0.442623;0.278351;0.341772;15773
STAGE_2_SPLIT;0.40;0.60;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.552965;0.813019;0.498377;0.383700;0.418957;15773
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.566017;0.819372;0.393939;0.124402;0.189091;16190
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.566017;0.819372;0.400000;0.208000;0.273684;16190
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.566017;0.819372;0.371134;0.325792;0.346988;16190
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.566017;0.819372;0.579545;0.484561;0.527814;16190
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.566017;0.819372;0.869595;0.949090;0.907605;16190
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.566017;0.819372;0.432692;0.292208;0.348837;16190
STAGE_2_SPLIT;0.50;0.50;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.566017;0.819372;0.507818;0.397342;0.432336;16190
STAGE_2_SPLIT;0.60;0.40;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.573495;0.821834;0.419355;0.156627;0.228070;15820
STAGE_2_SPLIT;0.60;0.40;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.573495;0.821834;0.407407;0.205607;0.273292;15820
STAGE_2_SPLIT;0.60;0.40;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.573495;0.821834;0.361842;0.331325;0.345912;15820
STAGE_2_SPLIT;0.60;0.40;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.573495;0.821834;0.603704;0.492447;0.542429;15820
STAGE_2_SPLIT;0.60;0.40;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.573495;0.821834;0.871882;0.948516;0.908586;15820
STAGE_2_SPLIT;0.60;0.40;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.573495;0.821834;0.430233;0.286822;0.344186;15820
STAGE_2_SPLIT;0.60;0.40;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.573495;0.821834;0.515737;0.403557;0.440413;15820
STAGE_2_SPLIT;0.70;0.30;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.567833;0.817754;0.369565;0.138776;0.201780;14670
STAGE_2_SPLIT;0.70;0.30;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.567833;0.817754;0.405405;0.189873;0.258621;14670
STAGE_2_SPLIT;0.70;0.30;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.567833;0.817754;0.377049;0.340741;0.357977;14670
STAGE_2_SPLIT;0.70;0.30;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.567833;0.817754;0.593301;0.506122;0.546256;14670
STAGE_2_SPLIT;0.70;0.30;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.567833;0.817754;0.870259;0.943140;0.905235;14670
STAGE_2_SPLIT;0.70;0.30;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.567833;0.817754;0.409091;0.290323;0.339623;14670
STAGE_2_SPLIT;0.70;0.30;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.567833;0.817754;0.504112;0.401496;0.434915;14670
STAGE_2_SPLIT;0.80;0.20;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.563948;0.817776;0.388889;0.165680;0.232365;11813
STAGE_2_SPLIT;0.80;0.20;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.563948;0.817776;0.391304;0.169811;0.236842;11813
STAGE_2_SPLIT;0.80;0.20;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.563948;0.817776;0.428571;0.347368;0.383721;11813
STAGE_2_SPLIT;0.80;0.20;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.563948;0.817776;0.591241;0.512658;0.549153;11813
STAGE_2_SPLIT;0.80;0.20;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.563948;0.817776;0.870719;0.943414;0.905610;11813
STAGE_2_SPLIT;0.80;0.20;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.563948;0.817776;0.318182;0.241379;0.274510;11813
STAGE_2_SPLIT;0.80;0.20;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.563948;0.817776;0.498151;0.396719;0.430367;11813
STAGE_2_SPLIT;0.90;0.10;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.571672;0.824535;0.485714;0.195402;0.278689;6870
STAGE_2_SPLIT;0.90;0.10;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.571672;0.824535;0.230769;0.136364;0.171429;6870
STAGE_2_SPLIT;0.90;0.10;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.571672;0.824535;0.463415;0.380000;0.417582;6870
STAGE_2_SPLIT;0.90;0.10;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.571672;0.824535;0.630769;0.554054;0.589928;6870
STAGE_2_SPLIT;0.90;0.10;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.571672;0.824535;0.873612;0.941989;0.906513;6870
STAGE_2_SPLIT;0.90;0.10;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.571672;0.824535;0.300000;0.230769;0.260870;6870
STAGE_2_SPLIT;0.90;0.10;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.571672;0.824535;0.497380;0.406430;0.437502;6870
