K;TrainRatio;Metric;Class;Accuracy;Precision;Recall;F1;DurationMs;Status
3;0.90;ManhattanMetric;usa;0.8245;0.8843;0.9365;0.9097;58603;OK
3;0.90;ManhattanMetric;west-germany;0.8245;0.3750;0.3462;0.3600;58603;OK
4;0.10;ChebyshevMetric;canada;0.7678;0.1504;0.0226;0.0393;53227;OK
4;0.10;ChebyshevMetric;france;0.7678;0.0137;0.0045;0.0068;53227;OK
4;0.10;ChebyshevMetric;japan;0.7678;0.1566;0.0627;0.0895;53227;OK
4;0.10;ChebyshevMetric;uk;0.7678;0.3417;0.2200;0.2677;53227;OK
4;0.10;ChebyshevMetric;usa;0.7678;0.8142;0.9418;0.8734;53227;OK
4;0.10;ChebyshevMetric;west-germany;0.7678;0.1389;0.0521;0.0758;53227;OK
4;0.10;EuclideanMetric;canada;0.7868;0.2365;0.0465;0.0778;54960;OK
4;0.10;EuclideanMetric;france;0.7868;0.3333;0.1300;0.1871;54960;OK
4;0.10;EuclideanMetric;japan;0.7868;0.2500;0.1205;0.1626;54960;OK
4;0.10;EuclideanMetric;uk;0.7868;0.4504;0.3313;0.3818;54960;OK
4;0.10;EuclideanMetric;usa;0.7868;0.8337;0.9476;0.8870;54960;OK
4;0.10;EuclideanMetric;west-germany;0.7868;0.2069;0.1042;0.1386;54960;OK
4;0.10;ManhattanMetric;canada;0.7999;0.3427;0.0652;0.1095;54659;OK
4;0.10;ManhattanMetric;france;0.7999;0.3222;0.1300;0.1853;54659;OK
4;0.10;ManhattanMetric;japan;0.7999;0.3000;0.1807;0.2256;54659;OK
4;0.10;ManhattanMetric;uk;0.7999;0.5364;0.3733;0.4402;54659;OK
4;0.10;ManhattanMetric;usa;0.7999;0.8413;0.9553;0.8946;54659;OK
4;0.10;ManhattanMetric;west-germany;0.7999;0.2950;0.1424;0.1920;54659;OK
4;0.20;ChebyshevMetric;canada;0.7727;0.1622;0.0359;0.0588;83916;OK
4;0.20;ChebyshevMetric;france;0.7727;0.1493;0.0518;0.0769;83916;OK
4;0.20;ChebyshevMetric;japan;0.7727;0.2287;0.1165;0.1544;83916;OK
4;0.20;ChebyshevMetric;uk;0.7727;0.3824;0.2337;0.2901;83916;OK
4;0.20;ChebyshevMetric;usa;0.7727;0.8193;0.9406;0.8757;83916;OK
4;0.20;ChebyshevMetric;west-germany;0.7727;0.2366;0.0880;0.1283;83916;OK
4;0.20;EuclideanMetric;canada;0.7909;0.2614;0.0598;0.0973;98801;OK
4;0.20;EuclideanMetric;france;0.7909;0.3030;0.1554;0.2055;98801;OK
4;0.20;EuclideanMetric;japan;0.7909;0.2579;0.1545;0.1932;98801;OK
4;0.20;EuclideanMetric;uk;0.7909;0.5094;0.3361;0.4050;98801;OK
4;0.20;EuclideanMetric;usa;0.7909;0.8377;0.9474;0.8892;98801;OK
4;0.20;EuclideanMetric;west-germany;0.7909;0.2667;0.1440;0.1870;98801;OK
4;0.20;ManhattanMetric;canada;0.8083;0.3143;0.0658;0.1088;82440;OK
4;0.20;ManhattanMetric;france;0.8083;0.3980;0.2021;0.2680;82440;OK
4;0.20;ManhattanMetric;japan;0.8083;0.3719;0.2439;0.2946;82440;OK
4;0.20;ManhattanMetric;uk;0.8083;0.5745;0.4053;0.4753;82440;OK
4;0.20;ManhattanMetric;usa;0.8083;0.8504;0.9548;0.8996;82440;OK
4;0.20;ManhattanMetric;west-germany;0.8083;0.3841;0.2520;0.3043;82440;OK
4;0.30;ChebyshevMetric;canada;0.7752;0.1958;0.0482;0.0773;111845;OK
4;0.30;ChebyshevMetric;france;0.7752;0.1746;0.0659;0.0957;111845;OK
4;0.30;ChebyshevMetric;japan;0.7752;0.1979;0.1173;0.1473;111845;OK
4;0.30;ChebyshevMetric;uk;0.7752;0.3826;0.2582;0.3083;111845;OK
4;0.30;ChebyshevMetric;usa;0.7752;0.8267;0.9379;0.8788;111845;OK
4;0.30;ChebyshevMetric;west-germany;0.7752;0.2558;0.0991;0.1429;111845;OK
4;0.30;EuclideanMetric;canada;0.7919;0.2901;0.0809;0.1265;132832;OK
4;0.30;EuclideanMetric;france;0.7919;0.2750;0.1317;0.1781;132832;OK
4;0.30;EuclideanMetric;japan;0.7919;0.2520;0.1944;0.2195;132832;OK
4;0.30;EuclideanMetric;uk;0.7919;0.4865;0.3824;0.4282;132832;OK
4;0.30;EuclideanMetric;usa;0.7919;0.8478;0.9398;0.8914;132832;OK
4;0.30;EuclideanMetric;west-germany;0.7919;0.2857;0.1532;0.1994;132832;OK
4;0.30;ManhattanMetric;canada;0.8095;0.3951;0.1102;0.1723;134694;OK
4;0.30;ManhattanMetric;france;0.8095;0.3947;0.1796;0.2469;134694;OK
4;0.30;ManhattanMetric;japan;0.8095;0.3538;0.2840;0.3151;134694;OK
4;0.30;ManhattanMetric;uk;0.8095;0.5266;0.4526;0.4868;134694;OK
4;0.30;ManhattanMetric;usa;0.8095;0.8613;0.9447;0.9011;134694;OK
4;0.30;ManhattanMetric;west-germany;0.8095;0.4231;0.2973;0.3492;134694;OK
4;0.40;ChebyshevMetric;canada;0.7843;0.2254;0.0648;0.1006;148502;OK
4;0.40;ChebyshevMetric;france;0.7843;0.2759;0.1088;0.1561;148502;OK
4;0.40;ChebyshevMetric;japan;0.7843;0.2840;0.1745;0.2162;148502;OK
4;0.40;ChebyshevMetric;uk;0.7843;0.3966;0.2795;0.3279;148502;OK
4;0.40;ChebyshevMetric;usa;0.7843;0.8342;0.9409;0.8843;148502;OK
4;0.40;ChebyshevMetric;west-germany;0.7843;0.3182;0.1082;0.1615;148502;OK
4;0.40;EuclideanMetric;canada;0.7975;0.2717;0.0951;0.1409;55021;OK
4;0.40;EuclideanMetric;france;0.7975;0.3390;0.1361;0.1942;55021;OK
4;0.40;EuclideanMetric;japan;0.7975;0.3150;0.2291;0.2653;55021;OK
4;0.40;EuclideanMetric;uk;0.7975;0.4833;0.3976;0.4363;55021;OK
4;0.40;EuclideanMetric;usa;0.7975;0.8525;0.9414;0.8947;55021;OK
4;0.40;EuclideanMetric;west-germany;0.7975;0.3229;0.1598;0.2138;55021;OK
4;0.40;ManhattanMetric;canada;0.8149;0.3926;0.1296;0.1948;117700;OK
4;0.40;ManhattanMetric;france;0.8149;0.4286;0.2041;0.2765;117700;OK
4;0.40;ManhattanMetric;japan;0.8149;0.3953;0.3091;0.3469;117700;OK
4;0.40;ManhattanMetric;uk;0.8149;0.5357;0.4724;0.5021;117700;OK
4;0.40;ManhattanMetric;usa;0.8149;0.8663;0.9459;0.9043;117700;OK
4;0.40;ManhattanMetric;west-germany;0.8149;0.4231;0.2835;0.3395;117700;OK
4;0.50;ChebyshevMetric;canada;0.7886;0.2213;0.0646;0.1000;153572;OK
4;0.50;ChebyshevMetric;france;0.7886;0.3061;0.1200;0.1724;153572;OK
4;0.50;ChebyshevMetric;japan;0.7886;0.2727;0.1629;0.2040;153572;OK
4;0.50;ChebyshevMetric;uk;0.7886;0.4441;0.3017;0.3593;153572;OK
4;0.50;ChebyshevMetric;usa;0.7886;0.8350;0.9441;0.8862;153572;OK
4;0.50;ChebyshevMetric;west-germany;0.7886;0.2979;0.0909;0.1393;153572;OK
4;0.50;EuclideanMetric;canada;0.8023;0.2806;0.0933;0.1400;58109;OK
4;0.50;EuclideanMetric;france;0.8023;0.3448;0.1600;0.2186;58109;OK
4;0.50;EuclideanMetric;japan;0.8023;0.3222;0.2624;0.2893;58109;OK
4;0.50;EuclideanMetric;uk;0.8023;0.5042;0.4323;0.4655;58109;OK
4;0.50;EuclideanMetric;usa;0.8023;0.8575;0.9424;0.8979;58109;OK
4;0.50;EuclideanMetric;west-germany;0.8023;0.3088;0.1364;0.1892;58109;OK
4;0.50;ManhattanMetric;canada;0.8183;0.3796;0.1244;0.1874;158557;OK
4;0.50;ManhattanMetric;france;0.8183;0.4154;0.2160;0.2842;158557;OK
4;0.50;ManhattanMetric;japan;0.8183;0.3827;0.3394;0.3597;158557;OK
4;0.50;ManhattanMetric;uk;0.8183;0.5750;0.4917;0.5301;158557;OK
4;0.50;ManhattanMetric;usa;0.8183;0.8688;0.9465;0.9060;158557;OK
4;0.50;ManhattanMetric;west-germany;0.8183;0.4500;0.2922;0.3543;158557;OK
4;0.60;ChebyshevMetric;canada;0.7936;0.2551;0.0753;0.1163;148098;OK
4;0.60;ChebyshevMetric;france;0.7936;0.3784;0.1308;0.1944;148098;OK
4;0.60;ChebyshevMetric;japan;0.7936;0.2923;0.2289;0.2568;148098;OK
4;0.60;ChebyshevMetric;uk;0.7936;0.4653;0.3444;0.3958;148098;OK
4;0.60;ChebyshevMetric;usa;0.7936;0.8408;0.9420;0.8885;148098;OK
4;0.60;ChebyshevMetric;west-germany;0.7936;0.3889;0.1085;0.1697;148098;OK
4;0.60;EuclideanMetric;canada;0.8049;0.2778;0.1054;0.1528;157795;OK
4;0.60;EuclideanMetric;france;0.8049;0.3958;0.1776;0.2452;157795;OK
4;0.60;EuclideanMetric;japan;0.8049;0.3219;0.2831;0.3013;157795;OK
4;0.60;EuclideanMetric;uk;0.8049;0.5171;0.4562;0.4848;157795;OK
4;0.60;EuclideanMetric;usa;0.8049;0.8596;0.9402;0.8981;157795;OK
4;0.60;EuclideanMetric;west-germany;0.8049;0.4490;0.1705;0.2472;157795;OK
4;0.60;ManhattanMetric;canada;0.8233;0.4231;0.1657;0.2381;154030;OK
4;0.60;ManhattanMetric;france;0.8233;0.4074;0.2056;0.2733;154030;OK
4;0.60;ManhattanMetric;japan;0.8233;0.3899;0.3735;0.3815;154030;OK
4;0.60;ManhattanMetric;uk;0.8233;0.6103;0.5015;0.5506;154030;OK
4;0.60;ManhattanMetric;usa;0.8233;0.8733;0.9478;0.9090;154030;OK
4;0.60;ManhattanMetric;west-germany;0.8233;0.4268;0.2713;0.3318;154030;OK
4;0.70;ChebyshevMetric;canada;0.7895;0.2292;0.0898;0.1290;129984;OK
4;0.70;ChebyshevMetric;france;0.7895;0.2963;0.1013;0.1509;129984;OK
4;0.70;ChebyshevMetric;japan;0.7895;0.3168;0.2370;0.2712;129984;OK
4;0.70;ChebyshevMetric;uk;0.7895;0.4628;0.3551;0.4018;129984;OK
4;0.70;ChebyshevMetric;usa;0.7895;0.8420;0.9339;0.8856;129984;OK
4;0.70;ChebyshevMetric;west-germany;0.7895;0.4063;0.1398;0.2080;129984;OK
4;0.70;EuclideanMetric;canada;0.8026;0.2453;0.1061;0.1481;140161;OK
4;0.70;EuclideanMetric;france;0.8026;0.3429;0.1519;0.2105;140161;OK
4;0.70;EuclideanMetric;japan;0.8026;0.3514;0.2889;0.3171;140161;OK
4;0.70;EuclideanMetric;uk;0.8026;0.4932;0.4408;0.4655;140161;OK
4;0.70;EuclideanMetric;usa;0.8026;0.8611;0.9367;0.8973;140161;OK
4;0.70;EuclideanMetric;west-germany;0.8026;0.5000;0.2258;0.3111;140161;OK
4;0.70;ManhattanMetric;canada;0.8185;0.3763;0.1429;0.2071;134112;OK
4;0.70;ManhattanMetric;france;0.8185;0.3846;0.1899;0.2542;134112;OK
4;0.70;ManhattanMetric;japan;0.8185;0.3770;0.3407;0.3580;134112;OK
4;0.70;ManhattanMetric;uk;0.8185;0.5924;0.5102;0.5482;134112;OK
4;0.70;ManhattanMetric;usa;0.8185;0.8715;0.9428;0.9057;134112;OK
4;0.70;ManhattanMetric;west-germany;0.8185;0.4328;0.3118;0.3625;134112;OK
4;0.80;ChebyshevMetric;canada;0.7932;0.2241;0.0769;0.1145;99747;OK
4;0.80;ChebyshevMetric;france;0.7932;0.3077;0.0755;0.1212;99747;OK
4;0.80;ChebyshevMetric;japan;0.7932;0.3235;0.2316;0.2699;99747;OK
4;0.80;ChebyshevMetric;uk;0.7932;0.4783;0.3481;0.4029;99747;OK
4;0.80;ChebyshevMetric;usa;0.7932;0.8404;0.9425;0.8885;99747;OK
4;0.80;ChebyshevMetric;west-germany;0.7932;0.4118;0.1207;0.1867;99747;OK
4;0.80;EuclideanMetric;canada;0.7999;0.2698;0.1006;0.1466;103302;OK
4;0.80;EuclideanMetric;france;0.7999;0.3750;0.1132;0.1739;103302;OK
4;0.80;EuclideanMetric;japan;0.7999;0.3600;0.2842;0.3176;103302;OK
4;0.80;EuclideanMetric;uk;0.7999;0.4694;0.4367;0.4525;103302;OK
4;0.80;EuclideanMetric;usa;0.7999;0.8568;0.9378;0.8955;103302;OK
4;0.80;EuclideanMetric;west-germany;0.7999;0.3571;0.1724;0.2326;103302;OK
4;0.80;ManhattanMetric;canada;0.8185;0.3803;0.1598;0.2250;103452;OK
4;0.80;ManhattanMetric;france;0.8185;0.3600;0.1698;0.2308;103452;OK
4;0.80;ManhattanMetric;japan;0.8185;0.4533;0.3579;0.4000;103452;OK
4;0.80;ManhattanMetric;uk;0.8185;0.5903;0.5380;0.5629;103452;OK
4;0.80;ManhattanMetric;usa;0.8185;0.8716;0.9416;0.9052;103452;OK
4;0.80;ManhattanMetric;west-germany;0.8185;0.3556;0.2759;0.3107;103452;OK
4;0.90;ChebyshevMetric;canada;0.8030;0.2069;0.0690;0.1034;56857;OK
4;0.90;ChebyshevMetric;france;0.8030;0.1818;0.0909;0.1212;56857;OK
4;0.90;ChebyshevMetric;japan;0.8030;0.4000;0.3200;0.3556;56857;OK
4;0.90;ChebyshevMetric;uk;0.8030;0.5000;0.3649;0.4219;56857;OK
4;0.90;ChebyshevMetric;usa;0.8030;0.8515;0.9448;0.8957;56857;OK
4;0.90;ChebyshevMetric;west-germany;0.8030;0.5000;0.1154;0.1875;56857;OK
4;0.90;EuclideanMetric;canada;0.8156;0.3333;0.1149;0.1709;60334;OK
4;0.90;EuclideanMetric;france;0.8156;0.3333;0.1364;0.1935;60334;OK
4;0.90;EuclideanMetric;japan;0.8156;0.4595;0.3400;0.3908;60334;OK
4;0.90;EuclideanMetric;uk;0.8156;0.5455;0.4865;0.5143;60334;OK
4;0.90;EuclideanMetric;usa;0.8156;0.8615;0.9448;0.9012;60334;OK
4;0.90;EuclideanMetric;west-germany;0.8156;0.4167;0.1923;0.2632;60334;OK
4;0.90;ManhattanMetric;canada;0.8283;0.4857;0.1954;0.2787;58504;OK
4;0.90;ManhattanMetric;france;0.8283;0.2308;0.1364;0.1714;58504;OK
4;0.90;ManhattanMetric;japan;0.8283;0.5000;0.4000;0.4444;58504;OK
4;0.90;ManhattanMetric;uk;0.8283;0.5972;0.5811;0.5890;58504;OK
4;0.90;ManhattanMetric;usa;0.8283;0.8797;0.9429;0.9102;58504;OK
4;0.90;ManhattanMetric;west-germany;0.8283;0.3333;0.2692;0.2979;58504;OK
5;0.10;ChebyshevMetric;canada;0.7758;0.1316;0.0066;0.0127;53335;OK
5;0.10;ChebyshevMetric;france;0.7758;0.0282;0.0090;0.0136;53335;OK
5;0.10;ChebyshevMetric;japan;0.7758;0.1848;0.0410;0.0671;53335;OK
5;0.10;ChebyshevMetric;uk;0.7758;0.3561;0.2386;0.2857;53335;OK
5;0.10;ChebyshevMetric;usa;0.7758;0.8133;0.9525;0.8775;53335;OK
5;0.10;ChebyshevMetric;west-germany;0.7758;0.1414;0.0486;0.0724;53335;OK
5;0.10;EuclideanMetric;canada;0.7947;0.3295;0.0386;0.0690;54967;OK
5;0.10;EuclideanMetric;france;0.7947;0.3684;0.1256;0.1873;54967;OK
5;0.10;EuclideanMetric;japan;0.7947;0.2606;0.0892;0.1329;54967;OK
5;0.10;EuclideanMetric;uk;0.7947;0.4781;0.3239;0.3861;54967;OK
5;0.10;EuclideanMetric;usa;0.7947;0.8303;0.9608;0.8908;54967;OK
5;0.10;EuclideanMetric;west-germany;0.7947;0.2033;0.0868;0.1217;54967;OK
5;0.10;ManhattanMetric;canada;0.8045;0.3750;0.0598;0.1032;54749;OK
5;0.10;ManhattanMetric;france;0.8045;0.3714;0.1166;0.1775;54749;OK
5;0.10;ManhattanMetric;japan;0.8045;0.3413;0.1711;0.2279;54749;OK
5;0.10;ManhattanMetric;uk;0.8045;0.5479;0.3745;0.4449;54749;OK
5;0.10;ManhattanMetric;usa;0.8045;0.8391;0.9629;0.8967;54749;OK
5;0.10;ManhattanMetric;west-germany;0.8045;0.2857;0.1181;0.1671;54749;OK
5;0.20;ChebyshevMetric;canada;0.7789;0.1236;0.0164;0.0290;71631;OK
5;0.20;ChebyshevMetric;france;0.7789;0.1515;0.0259;0.0442;71631;OK
5;0.20;ChebyshevMetric;japan;0.7789;0.1970;0.0705;0.1038;71631;OK
5;0.20;ChebyshevMetric;uk;0.7789;0.3931;0.2213;0.2832;71631;OK
5;0.20;ChebyshevMetric;usa;0.7789;0.8143;0.9539;0.8786;71631;OK
5;0.20;ChebyshevMetric;west-germany;0.7789;0.2338;0.0720;0.1101;71631;OK
5;0.20;EuclideanMetric;canada;0.7975;0.3182;0.0523;0.0899;99440;OK
5;0.20;EuclideanMetric;france;0.7975;0.3947;0.1554;0.2230;99440;OK
5;0.20;EuclideanMetric;japan;0.7975;0.2695;0.1220;0.1679;99440;OK
5;0.20;EuclideanMetric;uk;0.7975;0.5181;0.3167;0.3931;99440;OK
5;0.20;EuclideanMetric;usa;0.7975;0.8318;0.9594;0.8910;99440;OK
5;0.20;EuclideanMetric;west-germany;0.7975;0.3608;0.1400;0.2017;99440;OK
5;0.20;ManhattanMetric;canada;0.8136;0.4318;0.0568;0.1004;71932;OK
5;0.20;ManhattanMetric;france;0.8136;0.3889;0.1451;0.2113;71932;OK
5;0.20;ManhattanMetric;japan;0.8136;0.4010;0.2141;0.2792;71932;OK
5;0.20;ManhattanMetric;uk;0.8136;0.5942;0.3970;0.4760;71932;OK
5;0.20;ManhattanMetric;usa;0.8136;0.8453;0.9662;0.9017;71932;OK
5;0.20;ManhattanMetric;west-germany;0.8136;0.4043;0.2280;0.2916;71932;OK
5;0.30;ChebyshevMetric;canada;0.7807;0.1471;0.0258;0.0439;92433;OK
5;0.30;ChebyshevMetric;france;0.7807;0.2432;0.0539;0.0882;92433;OK
5;0.30;ChebyshevMetric;japan;0.7807;0.2119;0.0988;0.1347;92433;OK
5;0.30;ChebyshevMetric;uk;0.7807;0.4153;0.2565;0.3172;92433;OK
5;0.30;ChebyshevMetric;usa;0.7807;0.8212;0.9483;0.8802;92433;OK
5;0.30;ChebyshevMetric;west-germany;0.7807;0.2338;0.0811;0.1204;92433;OK
5;0.30;EuclideanMetric;canada;0.8007;0.3269;0.0585;0.0993;112354;OK
5;0.30;EuclideanMetric;france;0.8007;0.4063;0.1557;0.2251;112354;OK
5;0.30;EuclideanMetric;japan;0.8007;0.2680;0.1605;0.2008;112354;OK
5;0.30;EuclideanMetric;uk;0.8007;0.5135;0.3725;0.4318;112354;OK
5;0.30;EuclideanMetric;usa;0.8007;0.8419;0.9539;0.8944;112354;OK
5;0.30;EuclideanMetric;west-germany;0.8007;0.3627;0.1667;0.2284;112354;OK
5;0.30;ManhattanMetric;canada;0.8175;0.4324;0.0826;0.1387;133483;OK
5;0.30;ManhattanMetric;france;0.8175;0.4118;0.1677;0.2383;133483;OK
5;0.30;ManhattanMetric;japan;0.8175;0.3571;0.2469;0.2920;133483;OK
5;0.30;ManhattanMetric;uk;0.8175;0.5726;0.4575;0.5086;133483;OK
5;0.30;ManhattanMetric;usa;0.8175;0.8579;0.9588;0.9055;133483;OK
5;0.30;ManhattanMetric;west-germany;0.8175;0.4733;0.2793;0.3513;133483;OK
5;0.40;ChebyshevMetric;canada;0.7874;0.1717;0.0344;0.0573;121845;OK
5;0.40;ChebyshevMetric;france;0.7874;0.2549;0.0884;0.1313;121845;OK
5;0.40;ChebyshevMetric;japan;0.7874;0.2821;0.1200;0.1684;121845;OK
5;0.40;ChebyshevMetric;uk;0.7874;0.4205;0.2500;0.3136;121845;OK
5;0.40;ChebyshevMetric;usa;0.7874;0.8255;0.9530;0.8847;121845;OK
5;0.40;ChebyshevMetric;west-germany;0.7874;0.3019;0.0825;0.1296;121845;OK
5;0.40;EuclideanMetric;canada;0.8082;0.3143;0.0668;0.1102;54863;OK
5;0.40;EuclideanMetric;france;0.8082;0.4286;0.1633;0.2365;54863;OK
5;0.40;EuclideanMetric;japan;0.8082;0.3472;0.1818;0.2387;54863;OK
5;0.40;EuclideanMetric;uk;0.8082;0.5297;0.4035;0.4581;54863;OK
5;0.40;EuclideanMetric;usa;0.8082;0.8475;0.9578;0.8993;54863;OK
5;0.40;EuclideanMetric;west-germany;0.8082;0.3563;0.1598;0.2206;54863;OK
5;0.40;ManhattanMetric;canada;0.8153;0.4000;0.0931;0.1511;87533;OK
5;0.40;ManhattanMetric;france;0.8153;0.4655;0.1837;0.2634;87533;OK
5;0.40;ManhattanMetric;japan;0.8153;0.3898;0.2509;0.3053;87533;OK
5;0.40;ManhattanMetric;uk;0.8153;0.5290;0.4665;0.4958;87533;OK
5;0.40;ManhattanMetric;usa;0.8153;0.8583;0.9536;0.9035;87533;OK
5;0.40;ManhattanMetric;west-germany;0.8153;0.4615;0.2474;0.3221;87533;OK
5;0.50;ChebyshevMetric;canada;0.7924;0.2333;0.0502;0.0827;153635;OK
5;0.50;ChebyshevMetric;france;0.7924;0.3571;0.1200;0.1796;153635;OK
5;0.50;ChebyshevMetric;japan;0.7924;0.2593;0.1267;0.1702;153635;OK
5;0.50;ChebyshevMetric;uk;0.7924;0.4346;0.2684;0.3319;153635;OK
5;0.50;ChebyshevMetric;usa;0.7924;0.8310;0.9550;0.8887;153635;OK
5;0.50;ChebyshevMetric;west-germany;0.7924;0.2500;0.0584;0.0947;153635;OK
5;0.50;EuclideanMetric;canada;0.8093;0.3191;0.0718;0.1172;57701;OK
5;0.50;EuclideanMetric;france;0.8093;0.4167;0.1600;0.2312;57701;OK
